FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;BASE OR UNIT NAME;;;1A;BASE NAME;BASE;1022/104;1-30;M
;BASE OR UNIT NAME;;;1B;UNIT;;1022/57;;
2;STATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-27;O
;STATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;STATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;STATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;STATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;STATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;STATION;;;2G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;STATION;;;2H;STATION ASSIGNMENT NAME;NAME;1022/124;;
;STATION;;;2I;BEARING AND DISTANCE IN NM FROM REFERENCE POINT;BARN;2307;;
3;ANTI-AIR WARFARE CALL SIGN;;;3A;ANTI-AIR WARFARE CALL SIGN;;1129/8;1-2;M*
