FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TACTICAL CONTROL AUTHORITY;;;1A;TACTICAL CONTROL AUTHORITY;;1028/12;1-20;M
2;DAY-TIME FROM;;;2A;DAY-TIME AVAILABLE FROM;;2000;7-7;O
3;DAY-TIME TO;;;3A;DAY-TIME AVAILABLE TO;;2000;7-7;C
4;TACON CALL SIGN;;;4A;TACON CALL SIGN;;1129/16;1-20;O
5;PRIMARY COMMUNICATION PARAMETERS;;;5A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;O
;PRIMARY COMMUNICATION PARAMETERS;;;5B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;5C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;5D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
6;SECONDARY COMMUNICATION PARAMETERS;;;6A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;C
;SECONDARY COMMUNICATION PARAMETERS;;;6B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;6C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;6D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
7;LINK 16 CALL SIGN;;;7A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
