FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LENGTH IN METRES, 1-9999;;;1A;LENGTH IN METRES, 1-9999;;1657/5;1-4;O
2;WIDTH IN METRES, 1-9999;;;2A;WIDTH IN METRES, 1-9999;;1658/3;1-4;O
3;HEIGHT IN METRES, 0-999;;;3A;HEIGHT IN METRES, 0-999;;1651/6;1-3;O
4;DEPTH IN METRES, 1-999;;;4A;DEPTH IN METRES, 1-999;;1247/6;1-3;C
5;DIAMETER IN METRES;;;5A;DIAMETER IN METRES;;1679/1;1-4;C
6;TARGET STORAGE CAPACITY;;;6A;STORAGE CAPACITY IN METRIC TONS;;1050/7;1-9;O
;TARGET STORAGE CAPACITY;;;6B;STORAGE CAPACITY IN CUBIC METRES;M3;1063/3;;
7;TARGET MATERIAL TYPE;;;7A;TARGET MATERIAL TYPE;;1592/4;2-10;O
8;TARGET SHAPE;;;8A;TARGET SHAPE;;1259/5;2-11;O
9;TARGET PROTECTION;;;9A;TARGET PROTECTION;;1424/3;2-11;O*
