FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TARGET AREA FUNCTIONAL TYPE;;;1A;TARGET AREA FUNCTIONAL TYPE;;1284/21;3-4;M
2;TARGET DESCRIPTION;;;2A;TARGET DESCRIPTION;;1363/4;1-20;M
3;TARGET PERCENTAGE COVERED;;;3A;TARGET PERCENTAGE COVERED;;1064/43;1-3;M
4;TARGET LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-50;M
;TARGET LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;TARGET LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;TARGET LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;TARGET LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;TARGET LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;TARGET LOCATION;;;4G;AUTOMATED TACTICAL TARGET GRAPHIC ANNOTATION;NOT;1411/2;;
;TARGET LOCATION;;;4H;BEARING AND DISTANCE FROM REFERENCE POINT IN M OR NM;BARN;2687;;
