FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AERIAL MISSION TYPE;;;1A;AERIAL MISSION TYPE;;1285/29;2-6;M
2;TARGET DESCRIPTION;;;2A;TARGET DESCRIPTION;;1363/4;1-20;M
3;TARGET NOMINATING AUTHORITY;;;3A;TARGET NOMINATING AUTHORITY;;1874/7;3-6;M
4;TARGET CATEGORY;;;4A;TARGET CATEGORY;;1309/7;6-10;M
5;TARGET NAME;;;5A;TARGET NAME;;1022/97;1-54;O
6;GEOGRAPHICAL ENTITY;;;6A;GEOGRAPHICAL ENTITY (2A);;1262/6;2-3;O
;GEOGRAPHICAL ENTITY;;;6B;GEOGRAPHICAL ENTITY (3A);;1262/1;;
;GEOGRAPHICAL ENTITY;;;6C;EXERCISE GEOGRAPHICAL ENTITY;;1262/4;;
7;TARGET IDENTIFIER;;;7A;BASIC ENCYCLOPEDIA NUMBER;BEN;2002;7-10;M
;TARGET IDENTIFIER;;;7B;ABCA TARGET NUMBER;ABCA;2120;;
8;TARGET AREA DESCRIPTION;;;8A;TARGET AREA DESCRIPTION;;1363/6;1-20;O
9;TARGET POSITION;;;9A;TARGET POSITION, LAT/LONG, CENTISECONDS;LATCS;2488;7-48;M
;TARGET POSITION;;;9B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;TARGET POSITION;;;9C;TARGET LOCATION, GEOREF, MINUTE;GEOREFM;2017;;
;TARGET POSITION;;;9D;TARGET POSITION, TRUE BEARING AND DISTANCE IN NM;TBR;2016;;
;TARGET POSITION;;;9E;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
10;DAY-TIME OF POSITION;;;10A;DTG OF OBSERVATION, ZULU;;2323;14-14;O
11;TARGET COURSE;;;11A;TARGET COURSE IN DEGREES;COURSE;2065;1-4;O
;TARGET COURSE;;;11B;DIRECTION OF MOVEMENT (COMPASS POINT);DIR;1161/1;;
;TARGET COURSE;;;11C;DIRECTION OF MOVEMENT IN DEGREES;DIRMOV;1043/9;;
12;TARGET SPEED;;;12A;TARGET SPEED;SPEED;2063;3-7;O
;TARGET SPEED;;;12B;APPROXIMATE SPEED;APPXSPD;1113/5;;
