FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TARGET DESCRIPTION;;;1A;NON-SHIP TARGET TYPE;;1650/6;2-6;M
;TARGET DESCRIPTION;;;1B;SHIP TARGET TYPE;;1166/11;;
2;TARGET NAME;;;2A;TARGET FACILITY NAME;;1022/234;1-38;M
3;TARGET POSITION IDENTIFIER;;;3A;TARGET IDENTIFIER, ABBREVIATED;;1416/8;1-20;O
4;TARGET AREA DESCRIPTION;;;4A;TARGET AREA DESCRIPTION;;1363/6;1-20;O
5;REQUEST IDENTIFIER;;;5A;REQUEST IDENTIFIER;;1012/144;1-11;O
6;POINT OF IMPACT;;;6A;DESIRED MEAN POINT OF IMPACT (DMPI) IDENTIFIER;DMPI;1416/9;1-30;O
;POINT OF IMPACT;;;6B;MOBILE TARGET NUMBER;MT;1012/295;;
7;DESIRED MEAN POINT OF IMPACT (DMPI) DESCRIPTION.;;;7A;DESIRED MEAN POINT OF IMPACT DESCRIPTION;;1363/44;1-38;O
8;TARGET POSITION;;;8A;TARGET POSITION, LAT/LONG, CENTISECONDS;LATCS;2488;12-22;O
;TARGET POSITION;;;8B;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
9;TARGET ELEVATION;;;9A;TARGET ELEVATION IN FEET OR METRES;;2148;2-9;O
10;TARGET HEADING;;;10A;MOBILE TARGET HEADING IN DEGREES;;2065;4-4;O
11;TARGET SPEED;;;11A;MOBILE TARGET SPEED IN KPH, KTS, MPH;;2461;4-6;O
