FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MISSION IDENTIFIER;;;1A;MISSION NUMBER;MSNO;1012/69;1-12;M
;MISSION IDENTIFIER;;;1B;CALL SIGN, ABBREVIATED;CSIGN;1129/34;;
2;REQUEST IDENTIFIER;;;2A;REQUEST IDENTIFIER;;1012/144;1-11;O
3;TARGET LOCATION OR TARGET VESSEL TYPE;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;TARGET LOCATION OR TARGET VESSEL TYPE;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;TARGET LOCATION OR TARGET VESSEL TYPE;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;TARGET LOCATION OR TARGET VESSEL TYPE;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;TARGET LOCATION OR TARGET VESSEL TYPE;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;TARGET LOCATION OR TARGET VESSEL TYPE;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;TARGET LOCATION OR TARGET VESSEL TYPE;;;3G;TARGET POSITION IDENTIFIER;ID;1416/2;;
;TARGET LOCATION OR TARGET VESSEL TYPE;;;3H;VESSEL TYPE;VSL;1166/1;;
4;TIME ON TARGET;;;4A;TIME ON TARGET (HOUR-MINUTE);;2014;4-4;M
5;AIR MISSION RESULTS;;;5A;AIR MISSION RESULTS;;1088/6;1-1;M
