FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SHIP LOCATION DTG;;;1A;DTG OF LOCATION;;2033;14-14;M
2;SHIP LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;M
;SHIP LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;SHIP LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;SHIP LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;SHIP LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;SHIP LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;SHIP LOCATION;;;2G;PORT LOCATION;PORT;2505;;
;SHIP LOCATION;;;2H;PLACE NAME, EXTENDED;NAME;1022/261;;
3;SHIP'S STATUS;;;3A;NAVAL FORCE MOVEMENT STATUS;;1341/2;3-6;M
4;COURSE AND SPEED;;;4A;COURSE IN DEGREES TRUE (000.0=359.9) AND SPEED IN KTS;;2156;7-8;C
