FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DTG RENDEZVOUS;;;1A;DAY-TIME OF RENDEZVOUS;;2000;7-7;M
2;RENDEZVOUS LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M
;RENDEZVOUS LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;RENDEZVOUS LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;RENDEZVOUS LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;RENDEZVOUS LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;RENDEZVOUS LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;RENDEZVOUS LOCATION;;;2G;RENDEZVOUS POSITION, PLACE NAME;NAME;1022/112;;
3;TYPE OF RENDEZVOUS;;;3A;TYPE OF AIR REFUELLING RENDEZVOUS;;1299/11;7-10;O
4;TANKER AND RECEIVER HEIGHTS;;;4A;TANKER AND RECEIVER FLIGHT LEVELS;;2247;9-13;O
;TANKER AND RECEIVER HEIGHTS;;;4B;TANKER AND RECEIVER ALTITUDES;;2248;;
5;TANKER AND RECEIVER AIR TO AIR TACAN SETTING;;;5A;TANKER AND RECEIVER AIR TO AIR TACAN SETTING;;2249;5-11;O
