FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DTG OF OBSERVATION;;;1A;DTG OF OBSERVATION;;2033;14-14;M
2;SIGHTING LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;SIGHTING LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;SIGHTING LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;SIGHTING LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;SIGHTING LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;SIGHTING LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;TRAIN SPEED;;;3A;TRAIN SPEED;;2559;4-7;M
4;MOVEMENT, INTERCARDINAL;;;4A;MOVEMENT, INTERCARDINAL;;1161/10;1-2;M
5;TYPE OF RAILCAR;;;5A;TYPE OF RAILCAR;;1847/1;3-6;M*
6;NUMBER OF RAIL CARS;;;6A;NUMBER OF RAIL CARS;;1044/845;1-2;M*
