FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MISSION NUMBER;;;1A;MISSION NUMBER;;1012/69;1-8;M
2;TRANSPORTATION REQUIREMENT;;;2A;TRANSPORTATION REQUIREMENT IDENTIFIER;ID;1102/11;1-8;M
;TRANSPORTATION REQUIREMENT;;;2B;UNIT LINE NUMBER;ULN;1012/246;;
;TRANSPORTATION REQUIREMENT;;;2C;UNIT IDENTIFICATION CODE, SPECIFIC;UIC;1028/39;;
;TRANSPORTATION REQUIREMENT;;;2D;PERSONNEL INCREMENT NUMBER;PIN;1012/251;;
;TRANSPORTATION REQUIREMENT;;;2E;CARGO INCREMENT NUMBER;CIN;1012/252;;
3;ONLOAD LEG REFERENCE NUMBER;;;3A;ONLOAD LEG REFERENCE NUMBER;;1012/249;1-6;M
4;OFFLOAD LEG REFERENCE NUMBER;;;4A;OFFLOAD LEG REFERENCE NUMBER;;1012/250;1-6;M
5;PASSENGERS NUMBER;;;5A;NUMBER OF PASSENGERS;;1044/88;1-4;O
6;BULK CARGO WEIGHT;;;6A;BULK CARGO WEIGHT IN SHORT TONS IN TENTHS;STON;1800/2;3-5;O
;BULK CARGO WEIGHT;;;6B;BULK CARGO WEIGHT IN TONS IN TENTHS;TON;1440/5;;
7;HOIST REQUIREMENT INDICATOR;;;7A;HOIST REQUIREMENT INDICATOR;;1027/52;2-3;O
8;TYPE OF SUPPORT EQUIPMENT;;;8A;TYPE OF SUPPORT EQUIPMENT;;1135/9;1-20;O
9;HAZARDOUS CARGO DESIGNATOR;;;9A;HAZARDOUS CARGO DESIGNATOR, ABBREVIATED;;1221/3;1-5;O
10;SINGLE DAGGER REQUIRED;;;10A;SINGLE DAGGER REQUIRED;;1359/22;1-1;O
11;NET EXPLOSIVE WEIGHT;;;11A;NET EXPLOSIVE WEIGHT;;2487;3-9;O
12;OVERSIZE CARGO WEIGHT;;;12A;OVERSIZE CARGO WEIGHT IN SHORT TONS IN TENTHS;STON;1800/3;3-5;O
;OVERSIZE CARGO WEIGHT;;;12B;OVERSIZE CARGO WEIGHT IN TONS IN TENTHS;TON;1440/3;;
13;OUTSIZE CARGO WEIGHT;;;13A;OUTSIZE CARGO WEIGHT IN SHORT TONS IN TENTHS;STON;1800/4;3-5;O
;OUTSIZE CARGO WEIGHT;;;13B;OUTSIZE CARGO WEIGHT IN TONS IN TENTHS;TON;1440/4;;
14;STRETCHER PATIENTS NUMBER;;;14A;NUMBER OF STRETCHER PATIENTS, 0-999;;1044/325;1-3;O
15;AMBULATORY PATIENTS NUMBER;;;15A;NUMBER OF AMBULATORY PATIENTS;;1044/326;1-3;O
16;ATTENDANTS NUMBER;;;16A;NUMBER OF ATTENDANTS;;1044/327;1-3;O
17;CONTACT NAME;;;17A;CONTACT NAME;;1022/7;1-20;O
