FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;IDENTIFIER;;;1A;SHIP NAME;;1022/49;1-38;M
;IDENTIFIER;;;1B;NAVAL TASK DESIGNATOR;NTD;2143;;
;IDENTIFIER;;;1C;CONVOY IDENTIFIER;CI;2003;;
2;NUMBER OF SHIPS;;;2A;NUMBER OF SHIPS;;1044/76;1-2;O
3;GEODETIC DATUM;;;3A;GEODETIC DATUM;;1195/1;3-6;O
4;ARRIVAL LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-35;O
;ARRIVAL LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ARRIVAL LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ARRIVAL LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ARRIVAL LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ARRIVAL LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;ARRIVAL LOCATION;;;4G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;ARRIVAL LOCATION;;;4H;PLACE NAME;NAME;1022/170;;
;ARRIVAL LOCATION;;;4I;TRUE BEARING AND DISTANCE FROM REF POINT;BART;2047;;
;ARRIVAL LOCATION;;;4J;Q-ROUTE POSITION;QPOS;2203;;
5;ESTIMATED ARRIVAL TIME;;;5A;ESTIMATED DAY-TIME OF ARRIVAL;;2000;7-10;O
;ESTIMATED ARRIVAL TIME;;;5B;ESTIMATED DAY-TIME AND MONTH OF ARRIVAL;;2030;;
6;LEAD THROUGH INSTRUCTIONS;;;6A;LEAD THROUGH INSTRUCTIONS;;1142/2;4-6;O
