FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DISPOSITION AXIS;;;1A;DISPOSITION AXIS;;1439/11;3-5;M
2;GRID SEGMENT SIZE;;;2A;GRID SEGMENT SIZE IN YD, KYD OR NM;;2434;3-8;M
3;DISPOSITION CENTRE LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;DISPOSITION CENTRE LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;DISPOSITION CENTRE LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;DISPOSITION CENTRE LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;DISPOSITION CENTRE LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;DISPOSITION CENTRE LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;DISPOSITION CENTRE LOCATION;;;3G;ATP-1 POSITION DESIGNATOR;RP;1612/1;;
4;GRID CENTRE IDENTIFIER;;;4A;GRID CENTRE IDENTIFIER;;1012/275;1-3;O
5;GRID NAME;;;5A;GRID NAME;;1022/300;1-20;O
