FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;QUANTITY OF ORDNANCE;;;1A;QUANTITY OF ORDNANCE;;1044/131;1-3;M
2;WEAPON TYPE;;;2A;WEAPON TYPE, GENERIC;;1407/1;1-30;M
3;LASER/DATA LINK CODE;;;3A;LASER CORRELATION CODE;LC;1012/254;1-4;O
;LASER/DATA LINK CODE;;;3B;DATA LINK FREQUENCY CODE;DL;1396/4;;
4;GUIDANCE FREQUENCY;;;4A;GUIDANCE FREQUENCY IN MEGAHERTZ;FREQ;1068/11;1-16;C
;GUIDANCE FREQUENCY;;;4B;GUIDANCE FREQUENCY DESIGNATOR;DESIG;1396/7;;
5;CONTACT CALL SIGN;;;5A;CONTACT CALL SIGN;;1129/31;1-20;O
6;PRIMARY COMMUNICATION PARAMETERS;;;6A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;O
;PRIMARY COMMUNICATION PARAMETERS;;;6B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;6C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;6D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
7;SECONDARY COMMUNICATIONS PARAMETERS;;;7A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;C
;SECONDARY COMMUNICATIONS PARAMETERS;;;7B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATIONS PARAMETERS;;;7C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATIONS PARAMETERS;;;7D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
8;LINK 16 CALL SIGN;;;8A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
