FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;GRID REFERENCE (1);;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;GRID REFERENCE (1);;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GRID REFERENCE (1);;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GRID REFERENCE (1);;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GRID REFERENCE (1);;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GRID REFERENCE (1);;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
2;GRID REFERENCE (2);;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;GRID REFERENCE (2);;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GRID REFERENCE (2);;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GRID REFERENCE (2);;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GRID REFERENCE (2);;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GRID REFERENCE (2);;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
