FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TYPE OF CONTOUR;;;1A;TYPE OF CONTOUR;;1064/54;2-2;M
2;CONTAMINATION, DOSE, DOSE RATE/DOSAGE AND HAZARD;;;2A;LEVEL OF CONTAMINATION AND UNIT OF MEASUREMENT;CON;2464;3-12;M
;CONTAMINATION, DOSE, DOSE RATE/DOSAGE AND HAZARD;;;2B;LEVEL OF DOSE AND UNIT OF MEASUREMENT;DOS;2457;;
;CONTAMINATION, DOSE, DOSE RATE/DOSAGE AND HAZARD;;;2C;LEVEL OF DOSE RATE/DOSAGE AND UNIT OF MEASUREMENT;RAT;2456;;
;CONTAMINATION, DOSE, DOSE RATE/DOSAGE AND HAZARD;;;2D;LEVEL OF HAZARD;;2467;;
3;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M*
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
