FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TYPE OF ZONE AID;;;1A;TYPE OF ZONE AID;;1785/1;3-6;M
2;ZONE AID DEVICE;;;2A;ZONE AID DEVICE;;1613/3;3-12;M
3;ZONE AID IDENTIFIER (COLOR/FREQUENCY);;;3A;ZONE AID COLOR;;1246/59;1-16;M
;ZONE AID IDENTIFIER (COLOR/FREQUENCY);;;3B;ZONE AID PRIMARY FREQUENCY IN MEGAHERTZ;;1068/9;;
4;LOCATION OF RECOGNITION DEVICE;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C
;LOCATION OF RECOGNITION DEVICE;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION OF RECOGNITION DEVICE;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION OF RECOGNITION DEVICE;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION OF RECOGNITION DEVICE;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION OF RECOGNITION DEVICE;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION OF RECOGNITION DEVICE;;;4G;MAGNETIC BEARING AND DISTANCE FROM ZONE FIXED POSITION;BAR;2654;;
