;SEG;RPT;OCC;SETID;SEQ;FIELD OCCURRENCE;SET FORMAT NAME
;;;O;EXER;1;/M /O //;EXERCISE IDENTIFICATION
;;;C;OPER;2;/M /O /O /O //;OPERATION CODEWORD
;;;M;MSGID;3;/M /M /O /O /O /O //;MESSAGE IDENTIFIER
;;*;O;REF;4;/M /M /M /M /O /O /*O //;REFERENCE
;;;M;GEODATUM;5;/M //;GEODETIC DATUM
;;;O;DTG;6;/M //;DATE-TIME GROUP
;;;O;ORGIDDFT;7;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR OF DRAFTER/RELEASER
;;*;O;MAPNOGD;8;/M /O /*O /*O //;MAP DATA WITHOUT GEODETIC DATUM
;M;;[M];CMDRELI;9;/M //;COMMAND RELATIONSHIP INDICATOR
;[;;M;EORGID;10;/M /M /M /M /M /M /M /M /M /C //;ENEMY ORGANIZATION DESIGNATOR
;[;;C;ESUBORD;11;/M /O //;ENEMY SUBORDINATION
;[;;O;1FWPNS;12;/M /M /M /M /M //;FORCE WEAPONS
;[;;O;1AMMOH;13;/M /M /M /M //;AMMUNITION ON HAND
;[;;O;2SHORAD;14;/M /M /M /M /M /M /M //;SHORT RANGE AIR DEFENCE SYSTEMS AND AMMUNITION
;[;;O;1POL;15;/M /M /M /M //;PETROLEUM PRODUCTS
;[;;C;EMAT;16;/*M /*M /*O //;ENEMY MATERIEL
;[;;O;EORGSTAT;17;/O //;VERIFIED ENEMY ECHELON OF FORCE
;[;;O;INFOEVAL;18;/M /M /O //;INFORMATION EVALUATION
;[;;C;ORGIDSCE;19;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR OF INFORMATION SOURCE
;[ O;;[M];LOCATION;20;/M /M /*M //;GEOGRAPHIC LOCATION
;[ [;;O;LOCAMPN;21;/M /O /O /O //;LOCATION AMPLIFICATION
;[ [ O;;[M];ACTIVITY;22;/M /M /O /O //;ACTIVITY
;[ [ [;;O;DRCTN;23;/M /O /O //;DIRECTION
;[ [ [ O;;[M];ORGIDAFU;24;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR OF OWN AFFECTED UNIT
;[ [ [ [;;M;ATKTYPE;25;/*M //;ATTACK TYPE
;;;;;;;END OF SEGMENT
;[ [ [;;O;INFOEVAL;26;/M /M /O //;INFORMATION EVALUATION
;[ [ [;;C;ORGIDSCE;27;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR OF INFORMATION SOURCE
;[ [;;;;;;END OF SEGMENT
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;O;;[M];LOCNF;28;/M /*M //;LOCATION AND NEAREST FEATURE
;[;;M;EORGBDRY;29;/M /M /M /M /M /M /M /M /M //;ENEMY ORGANIZATIONAL BOUNDARY
;[;;O;INFOEVAL;30;/M /M /O //;INFORMATION EVALUATION
;[;;C;ORGIDSCE;31;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR OF INFORMATION SOURCE
;;;;;;;END OF SEGMENT
;;;O;GENTEXT;32;/M /M //;GENERAL TEXT
