;SEG;RPT;OCC;SETID;SEQ;FIELD OCCURRENCE;SET FORMAT NAME
;;;O;EXER;1;/M /O //;EXERCISE IDENTIFICATION
;;;C;OPER;2;/M /O /O /O //;OPERATION CODEWORD
;;;M;MSGID;3;/M /M /O /O /O /O //;MESSAGE IDENTIFIER
;;*;O;REF;4;/M /M /M /M /O /O /*O //;REFERENCE
;;;O;DTG;5;/M //;DATE-TIME GROUP
;;;O;ORGIDDFT;6;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR OF DRAFTER/RELEASER
;;;M;PERIOD;7;/M /M /C //;PERIOD OF TIME
;;;M;GENTEXT;8;/M /M //;GENERAL TEXT
;M;;[M];GENTEXT;9;/M /M //;GENERAL TEXT
;[;;O;GENTEXT;10;/M /M //;GENERAL TEXT
;[;;O;GENTEXT;11;/M /M //;GENERAL TEXT
;[;;O;GENTEXT;12;/M /M //;GENERAL TEXT
;[;;O;GENTEXT;13;/M /M //;GENERAL TEXT
;[;;O;GENTEXT;14;/M /M //;GENERAL TEXT
;[;;O;GENTEXT;15;/M /M //;GENERAL TEXT
;[;;O;GENTEXT;16;/M /M //;GENERAL TEXT
;[;;O;GENTEXT;17;/M /M //;GENERAL TEXT
;[;;M;GENTEXT;18;/M /M //;GENERAL TEXT
;;;;;;;END OF SEGMENT
;;;O;GENTEXT;19;/M /M //;GENERAL TEXT
