;SEG ;RPT ;OCC ;SETID ;SEQ ;FIELD OCCURRENCE ;SET FORMAT NAME 
;;;O ;EXER ;1;/M /O // ;EXERCISE IDENTIFICATION 
;;;C ;OPER ;2;/M /O /O /O // ;OPERATION CODEWORD 
;;;M ;MSGID ;3;/M /M /O /O /O /O // ;MESSAGE IDENTIFIER 
;;* ;O ;REF ;4;/M /M /M /M /O /O /*O // ;REFERENCE 
;;;M ;QUEWORD ;5;/M // ;QUEUE WORD 
;;;C ;TIMPD ;6;/M /M /M /O /O /O // ;TIME PERIOD 
;O ;;[M] ;SUB ;7;/M /M /M /M /M /M /O /O /O /O /O // ;SUBMARINE CONTACT 
;[ ;;O ;ASSOC ;8;/*M // ;ASSOCIATION 
;[ ;;O ;ELLIPSE ;9;/M /M /M /M // ;ELLIPSE 
;[ ;;C ;CIRC ;10;/M /*M // ;CIRCULAR AREA 
;[ ;;C ;AREA ;11;/O /*C // ;AREA 
;[ ;;C ;TIMEVENT ;12;/M /M /M /M /M /O /O // ;TIME OF SENSOR CONTACT EVENT 
;[ ;* ;C ;BRNG ;13;/M /M /M /O /O /O // ;BEARING 
;[ ;* ;M ;TMPOS ;14;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;[ ;* ;O ;RELPO ;15;/M /M /M /M /M /O /O // ;RELATIVE TO OWN POSITION 
;[ ;* ;O ;REACT ;16;/M /M /M /M /M /O // ;REACTION 
;[ ;;C ;TMPOS ;17;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;[ O ;;[M] ;ATTACK ;18;/M /M /O /O /O /O // ;ATTACK 
;[ [ ;;M ;TMPOS ;19;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;;;;;;;END OF SEGMENT 
;[ O ;;[M] ;EMITTER ;20;/M /M /M /O /O /O // ;NON-ACOUSTIC EMISSION INTERCEPT 
;[ [ ;* ;O ;BRNG ;21;/M /M /M /O /O /O // ;BEARING 
;[ [ ;;O ;RADPA ;22;/M /O /O /O /O /O /O /O // ;RADAR PARAMETERS 
;;;;;;;END OF SEGMENT 
;[ O ;;[M] ;SIGNA ;23;/M /M /M /O /O // ;SIGNATURE 
;[ [ ;* ;O ;SIGSUM ;24;/M /M /M /O // ;SIGNATURE SUMMATION 
;[ [ ;;O ;MODE ;25;/M /M /M /M // ;SUBMARINE OPERATING MODE 
;;;;;;;END OF SEGMENT 
;[ ;;O ;SUMRY ;26;/M /M /M /M /M /M /O // ;CONTACT SUMMARY 
;[ ;;O ;ARR ;27;/M /M /M /M /*O // ;ARRIVAL 
;[ ;;O ;INPORT ;28;/M /M /M /M /*O // ;INPORT 
;[ ;;O ;DEP ;29;/M /M /M /M /*O // ;DEPARTURE 
;[ ;;O ;DEST ;30;/M /M /M /M /*O // ;DESTINATION 
;;;;;;;END OF SEGMENT 
;O ;;[M] ;NAVAL ;31;/M /M /M /M /M /M /M /O /O /O // ;NAVAL SURFACE CONTACT 
;[ ;;O ;ASSOC ;32;/*M // ;ASSOCIATION 
;[ ;;O ;ELLIPSE ;33;/M /M /M /M // ;ELLIPSE 
;[ ;;C ;CIRC ;34;/M /*M // ;CIRCULAR AREA 
;[ ;;C ;AREA ;35;/O /*C // ;AREA 
;[ ;;M ;TIMEVENT ;36;/M /M /M /M /M /O /O // ;TIME OF SENSOR CONTACT EVENT 
;[ ;* ;C ;BRNG ;37;/M /M /M /O /O /O // ;BEARING 
;[ ;* ;M ;TMPOS ;38;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;[ ;* ;O ;RELPO ;39;/M /M /M /M /M /O /O // ;RELATIVE TO OWN POSITION 
;[ ;* ;O ;REACT ;40;/M /M /M /M /M /O // ;REACTION 
;[ ;;C ;TMPOS ;41;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;[ O ;;[M] ;ATTACK ;42;/M /M /O /O /O /O // ;ATTACK 
;[ [ ;;M ;TMPOS ;43;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;;;;;;;END OF SEGMENT 
;[ O ;;[M] ;EMITTER ;44;/M /M /M /O /O /O // ;NON-ACOUSTIC EMISSION INTERCEPT 
;[ [ ;* ;O ;BRNG ;45;/M /M /M /O /O /O // ;BEARING 
;[ [ ;;O ;RADPA ;46;/M /O /O /O /O /O /O /O // ;RADAR PARAMETERS 
;;;;;;;END OF SEGMENT 
;[ O ;;[M] ;SIGNA ;47;/M /M /M /O /O // ;SIGNATURE 
;[ [ ;* ;O ;SIGSUM ;48;/M /M /M /O // ;SIGNATURE SUMMATION 
;;;;;;;END OF SEGMENT 
;[ ;;O ;SUMRY ;49;/M /M /M /M /M /M /O // ;CONTACT SUMMARY 
;[ ;;O ;ARR ;50;/M /M /M /M /*O // ;ARRIVAL 
;[ ;;O ;INPORT ;51;/M /M /M /M /*O // ;INPORT 
;[ ;;O ;DEP ;52;/M /M /M /M /*O // ;DEPARTURE 
;[ ;;O ;DEST ;53;/M /M /M /M /*O // ;DESTINATION 
;;;;;;;END OF SEGMENT 
;O ;;[M] ;AIR ;54;/M /M /M /M /M /M /M /M /O // ;AIRCRAFT CONTACT 
;[ ;* ;M ;TMPOS ;55;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;[ ;* ;O ;REACT ;56;/M /M /M /M /M /O // ;REACTION 
;[ ;;C ;TMPOS ;57;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;[ O ;;[M] ;ATTACK ;58;/M /M /O /O /O /O // ;ATTACK 
;[ [ ;;M ;TMPOS ;59;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;;;;;;;END OF SEGMENT 
;[ O ;;[M] ;EMITTER ;60;/M /M /M /O /O /O // ;NON-ACOUSTIC EMISSION INTERCEPT 
;[ [ ;* ;O ;BRNG ;61;/M /M /M /O /O /O // ;BEARING 
;[ [ ;;O ;RADPA ;62;/M /O /O /O /O /O /O /O // ;RADAR PARAMETERS 
;[ ;;;;;;END OF SEGMENT 
;;;;;;;END OF SEGMENT 
;O ;;[M] ;MERCH ;63;/M /M /M /M /M /O /O /*O // ;MERCHANT SHIP CONTACT 
;[ ;;O ;ASSOC ;64;/*M // ;ASSOCIATION 
;[ ;;O ;ELLIPSE ;65;/M /M /M /M // ;ELLIPSE 
;[ ;;C ;CIRC ;66;/M /*M // ;CIRCULAR AREA 
;[ ;;C ;AREA ;67;/O /*C // ;AREA 
;[ ;;M ;TIMEVENT ;68;/M /M /M /M /M /O /O // ;TIME OF SENSOR CONTACT EVENT 
;[ ;* ;C ;BRNG ;69;/M /M /M /O /O /O // ;BEARING 
;[ ;* ;M ;TMPOS ;70;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
