null;null;1.;(2) P ([1] @)
null;null;2.;(3)F1 A "LOCATOR"
null;null;3.;(6) Q ([5]F1 = "BLACK")
null;null;4.;(10) QP ([9] !@ & [11] !@ & [13] !@)
null;null;5.;(11) QP ([9] !@ & [10] !@ & [13] !@)
null;null;6.;(12) Q ([9] @ / [10] @ / [11] @)
null;null;7.;(13) QP ([9] !@ & [10] !@ & [11] !@)
null;null;8.;(17) QP ([16] @)
null;null;9.;(34) QP ([33] !@ & [35] !@ & [37] !@)
null;null;10.;(35) QP ([33] !@ & [34] !@ & [37] !@)
null;null;11.;(37) QP ([33] !@ & [34] !@ & [35] !@)
null;null;12.;(41) QP ([40] @)
null;null;13.;(57) QP ([56] @)
null;null;14.;(66) QP ([65] !@ & [67] !@ & [69] !@)
null;null;15.;(67) QP ([65] !@ & [66] !@ & [69] !@)
null;null;16.;(69) QP ([65] !@ & [66] !@ & [67] !@)
null;null;17.;(74) QP ([73] @)
null;null;18.;(89) Q ([87]F6 @ & [90] !@ & [91] !@ & [93] !@)
null;null;19.;(90) Q ([87]F6 @ & [89] !@ & [91] !@ & [93] !@)
null;null;20.;(91) Q ([87]F6 @ & [89] !@ & [90] !@ & [93] !@)
null;null;21.;(93) QP ([89] !@ & [90] !@ & [91] !@)
null;null;22.;(97) QP ([96] @)
null;null;23.;(110S) Q ([7S] !@ & [31S] !@ & [54S] !@ & [63S] !@ & [87S] !@)
null;null;24.;(113) QP ([112] !@ & [114] !@ & [116] !@)
null;null;25.;(114) QP ([112] !@ & [113] !@ & [116] !@)
null;null;26.;(116) QP ([112] !@ & [113] !@ & [114] !@)
null;null;27.;(11)F2 @> 2 (F1 !@)
null;null;28.;(35)F2 @> 2 (F1 !@)
null;null;29.;(67)F2 @> 2 (F1 !@)
null;null;30.;(91)F2 @> 2 (F1 !@)
null;null;31.;(114)F2 @> 2 (F1 !@)
