;SEG;RPT;OCC;SETID;SEQ;FIELD OCCURRENCE;SET FORMAT NAME
;;;O;EXER;1;/M /O //;(NU) EXERCISE IDENTIFICATION
;;;C;OPER;2;/M /O /O /O //;(NU) OPERATION CODEWORD
;;;M;MSGID;3;/M /M /O /O /O /O //;(NU) MESSAGE IDENTIFIER
;;*;O;REF;4;/M /M /M /M /O /O /*O //;(NU) REFERENCE
;;;M;EFDT;5;/M /C //;(NU) EFFECTIVE DATE-TIME-MONTH
;;*;O;NFOR;6;/M /M /M /M //;(NU) NAVAL FORCE
;;*;O;NSIT;7;/M /M /M /M /M /M //;(NU) SITUATION OF NAVAL UNITS
;;*;O;ACFT;8;/M /*M /*M /*M //;(NU) AIRCRAFT SITUATION
;;*;O;APHIB;9;/M /*M /*M //;(NU) AMPHIBIOUS FORCE SITUATION
;;;O;1APHIB;10;/M /M /M //;(NU) AMPHIBIOUS FORCES SITUATION
;;*;O;MEQP;11;/M /*M /*M //;(NU) MAJOR EQUIPMENT
;;*;O;PRPOS;12;/M /M //;(NU) PRESENT POSITION
;;*;O;UNST;13;/M /M /M /*O //;(NU) UNIT STATUS
;;*;O;OPCASM;14;/M /M /M /M /M //;(NU) OPERATIONAL CASUALTY SUMMARY
;C;;[M];SMRY;15;/M /M //;(NU) ACTIVITY SUMMARY
;[ C;;[M];CONTR;16;/M //;(NU) OPERATIONAL CONTROL
;[ [ C;;[M];NFOR;17;/M /M /M /M //;(NU) NAVAL FORCE
;[ [ [ ;*;O;SHIPS;18;/M /*M /*M //;(NU) SHIP NAME
;[ [ [ ;;C;1SHIPS;19;/M /M /M //;(NU) SHIPS NAMES
;[ [ [ ;*;O;SAIL;20;/M /M /O //;(NU) SAILING INFORMATION
;[ [ ;;;;;;END OF SEGMENT
;[ [ C;;[M];NSIT;21;/M /M /M /M /M /M //;(NU) SITUATION OF NAVAL UNITS
;[ [ [ ;*;O;SAIL;22;/M /M /O //;(NU) SAILING INFORMATION
;[ [ ;;;;;;END OF SEGMENT
;[ [ ;*;O;ACFT;23;/M /*M /*M /*M //;(NU) AIRCRAFT SITUATION
;[ [ C;;[O];APHIB;24;/M /*M /*M //;(NU) AMPHIBIOUS FORCE SITUATION
;[ [ [ ;;[C];1APHIB;25;/M /M /M //;(NU) AMPHIBIOUS FORCES SITUATION
;[ [ [ ;*;O;SAIL;26;/M /M /O //;(NU) SAILING INFORMATION
;[ [ ;;;;;;END OF SEGMENT
;[ ;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
