;SEG ;RPT ;OCC ;SETID ;SEQ ;FIELD OCCURRENCE ;SET FORMAT NAME 
;;;O ;EXER ;1;/M /O // ;EXERCISE IDENTIFICATION 
;;;C ;OPER ;2;/M /O /O /O // ;OPERATION CODEWORD 
;;;M ;MSGID ;3;/M /M /O /O /O /O // ;MESSAGE IDENTIFIER 
;;* ;O ;REF ;4;/M /M /M /M /O /O /*O // ;REFERENCE 
;;;M ;EFDT ;5;/M /C // ;EFFECTIVE DATE-TIME-MONTH 
;M ;;[M] ;SMRY ;6;/M /M // ;ACTIVITY SUMMARY 
;[ O ;;[M] ;CONTR ;7;/M // ;OPERATIONAL CONTROL 
;[ [ O ;;[M] ;NFOR ;8;/M /M /M /M // ;NAVAL FORCE 
;[ [ [ ;* ;O ;SHIPS ;9;/M /*M /*M // ;SHIP NAME 
;[ [ [ ;;O ;1SHIPS ;10;/M /M /M // ;SHIPS NAMES 
;[ [ [ ;;O ;SAIL ;11;/M /M /O // ;SAILING INFORMATION 
;;;;;;;END OF SEGMENT 
;[ [ O ;;[M] ;NSIT ;12;/M /M /M /M /M /M // ;SITUATION OF NAVAL UNITS 
;[ [ [ ;* ;O ;SAIL ;13;/M /M /O // ;SAILING INFORMATION 
;;;;;;;END OF SEGMENT 
;[ [ ;* ;O ;ACFT ;14;/M /*M /*M /*M // ;AIRCRAFT SITUATION 
;[ [ O ;;[M] ;APHIB ;15;/M /*M /*M // ;AMPHIBIOUS FORCE SITUATION 
;[ [ [ ;* ;O ;SAIL ;16;/M /M /O // ;SAILING INFORMATION 
;;;;;;;END OF SEGMENT 
;[ [ C ;;[M] ;1APHIB ;17;/M /M /M // ;AMPHIBIOUS FORCES SITUATION 
;[ [ [ ;;O ;SAIL ;18;/M /M /O // ;SAILING INFORMATION 
;[ [ ;;;;;;END OF SEGMENT 
;[ ;;;;;;END OF SEGMENT 
;;;;;;;END OF SEGMENT 
;;* ;O ;OPCASM ;19;/M /M /M /M /M // ;OPERATIONAL CASUALTY SUMMARY
