;SEG;RPT;OCC;SETID;SEQ;FIELD OCCURRENCE;SET FORMAT NAME
;;;O;EXER;1;/M /O //;EXERCISE IDENTIFICATION
;;;C;OPER;2;/M /O /O /O //;OPERATION CODEWORD
;;;M;MSGID;3;/M /M /O /O /O /O //;MESSAGE IDENTIFIER
;;*;O;REF;4;/M /M /M /M /O /O /*O //;REFERENCE
;;;M;GEODATUM;5;/M //;GEODETIC DATUM
;;;O;DTG;6;/M //;DATE-TIME GROUP
;;;O;ORGIDDFT;7;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR OF DRAFTER/RELEASER
;;*;O;MAPNOGD;8;/M /O /*O /*O //;MAP DATA WITHOUT GEODETIC DATUM
;M;;[M];PARTTITL;9;/M /M /O /O //;MESSAGE PART AND TITLE
;[ M;;[M];ORGID;10;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR
;[ [;;O;CMDREL;11;/M /M //;COMMAND RELATIONSHIP TYPE
;[ [ O;;[M];ORGIDSUB;12;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR OF SUBORDINATE UNIT
;[ [ [;;M;CMDREL;13;/M /M //;COMMAND RELATIONSHIP TYPE
;[ [ [;;M;TIME;14;/*M /*M //;TIME
;[ [;;;;;;END OF SEGMENT
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;;;O;GENTEXT;15;/M /M //;GENERAL TEXT
;O;;[M];PARTTITL;16;/M /M /O /O //;MESSAGE PART AND TITLE
;[ M;;[M];ORGID;17;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR
;[ [;;O;TPERID;18;/M /M //;TIME PERIOD COVERED
;[ [ M;;[M];LOCNFSTS;19;/M /M /*M //;LOCATION, NEAREST FEATURE AND CONFIRMATION STATUS
;[ [ [ M;;[M];TPERID;20;/M /M //;TIME PERIOD COVERED
;[ [ [ [;;O;ACTIVITY;21;/M /M /O /O //;ACTIVITY
;[ [ [ [;;O;OPMOVEMT;22;/M /M //;OPERATIONAL MOVEMENT
;[ [ [;;;;;;END OF SEGMENT
;[ [;;;;;;END OF SEGMENT
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;;;C;GENTEXT;23;/M /M //;GENERAL TEXT
;O;;[M];PARTTITL;24;/M /M /O /O //;MESSAGE PART AND TITLE
;[ M;;[M];ORGID;25;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR
;[ [;;M;CEFT;26;/M /M /M /M /M /M //;COMBAT EFFECTIVENESS
;[ [;;O;EQUIP;27;/*M /*M /*M /*M //;MAIN EQUIPMENT OF OWN UNITS
;[ [;;O;1LNKSTAT;28;/M /M /M /M /M /M /M /C //;LINK STATUS
;[ [ O;;[M];EORGID;29;/M /M /M /M /M /M /M /M /M /C //;ENEMY ORGANIZATION DESIGNATOR
;[ [ [;;M;ESTRENTH;30;/*M /*M /*M /*M //;ENEMY STRENGTH
;[ [ [;;O;EMAT;31;/*M /*M /*O //;ENEMY MATERIEL
;[ [ [;;M;LOCATION;32;/M /M /*M //;GEOGRAPHIC LOCATION
;[ [ [;;O;LOCAMPN;33;/M /O /O /O //;LOCATION AMPLIFICATION
;[ [ [;;M;TIME;34;/*M /*M //;TIME
;[ [ [;;M;ACTIVITY;35;/M /M /O /O //;ACTIVITY
;[ [ [;;O;GENTEXT;36;/M /M //;GENERAL TEXT
;[ [;;;;;;END OF SEGMENT
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;;;C;GENTEXT;37;/M /M //;GENERAL TEXT
;O;;[M];PARTTITL;38;/M /M /O /O //;MESSAGE PART AND TITLE
;[ M;;[M];ORGID;39;/M /M /M /M /M /M /M /M /M /C //;ORGANIZATION DESIGNATOR
;[ [ M;;[M];LINETYPE;40;/M /M /O //;CONTROL OR COORDINATION LINE TYPE
;[ [ [;;M;LOCNF;41;/M /*M //;LOCATION AND NEAREST FEATURE
;[ [ [;;C;ORGIDBDY;42;/M /M /M /M /M /M /M /M /M //;ORGANIZATION BOUNDARY
;[ [ [;;O;TPERID;43;/M /M //;TIME PERIOD COVERED
;[ [ [;;C;QSTRTIME;44;/M /M //;QUALIFIED START TIME
;[ [;;;;;;END OF SEGMENT
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;;;C;GENTEXT;45;/M /M //;GENERAL TEXT
