Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
1;1;SET;;EXER;;;;O-1;;EXERCISE IDENTIFICATION;;;
2;;;;;;;;;;;;;
3;2;SET;;OPER;;;;C-1;;OPERATION CODEWORD;;;
4;;;;;;;;;;;;;
5;3;SET;;MSGID;;;;M-1;;MESSAGE IDENTIFIER;;;
6;;;;;;;;;;;;;
7;4;SET;;REF;;;;O-N;;REFERENCE;;;
8;;;;;;;;;;;;;
9;5;SET;;GEODATUM;;;;M-1;;GEODETIC DATUM;;;
10;;;;;;;;;;;;;
11;6;SET;;DTG;;;;O-1;;DATE-TIME GROUP;;;
12;;;;;;;;;;;;;
13;7;SET;;ORGIDDFT;;;;O-1;;ORGANIZATION DESIGNATOR OF DRAFTER/RELEASER;;;
14;;;;;;;;;;;;;
15;8;SET;;MAPNOGD;;;;O-N;;MAP DATA WITHOUT GEODETIC DATUM;;;
16;;;;;;;;;;;;;
17;;;;;;;;;;;;;
18;9;SEGMENT
Niveau 1;PARTTITL;;;;;M-N;;"OWN FORCES TASK ORGANIZATION";;;
19;9;SET;PARTTITL;PARTTITL;;;;M-1;;MESSAGE PART AND TITLE;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT.PARTTITL_1
20;;;;;;;;;;;;;
21;10;SEGMENT
Niveau 2;ORGID;;;;;M-N;;;;;
22;10;SET;ORGID;ORGID;;;;M-1;;ORGANIZATION DESIGNATOR;_;_;_
23;10;FIELD;ORGID;ORGID;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Unite;MPIA.Unite;MPIA.RacineOperationnelle.Nom
24;10;FIELD;ORGID;ORGID;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.Niveau
25;10;FIELD;ORGID;ORGID;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Unite;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
26;10;FIELD;ORGID;ORGID;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';MPIA.Unite;MPIA.TypeUnite;APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.Categorie
