FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;LINE REFERENCE NUMBER;1;LN; ; ;1348/003;2;N;R
2 M;CONSIGNEE, ARMED SERVICE;4;CONSIGNEE; ;A;1107/003;1;A;L
;CONSIGNEE;null;CONSIGNEE; ;B;1022/178;2-10;X;L
3 M;STOWAGE CATEGORY;15;STCAT; ; ;1189/001;4-5;A;L
4 M;LOAD TYPE;21;TYPE; ; ;1173/001;3-6;A;L
5 M;NUMBER OF PIECES OF CARGO;28;QTY; ; ;1044/272;1-4;N;R
6 M;CARGO CONTAINER TYPE;33;CONTNR; ; ;1190/002;2-6;A;L
7 M;CARGO WEIGHT IN METRIC TONS;40;MTONS; ; ;1050/006;1-5;N;R
8 M;CARGO VOLUME IN CUBIC METRES;46;CUBE; ; ;1063/006;1-5;N;R
9 O;CARGO WEIGHT IN LONG TONS;52;LTONS; ; ;1167/002;1-5;N;R
10 O;CARGO VOLUME IN MEASUREMENT TONS;58;MEATN; ; ;1168/002;1-5;N;R
11 O;CARGO EXCEEDS SHIP BOOM CAPACITY INDICATOR;64;L; ; ;1359/020;1;A;L
12 C;STOWAGE LOCATION;66;LOC; ; ;2057/001;3;AN;L
