FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;SURPLUS OR DEFICIENCY;1;TYPE; ; ;1130/051;3-4;A;L
2 M;CLASS OF SUPPLY;6;CS; ; ;1231/001;2;N;L
3 M;REPORTABLE ITEM CODE (RIC);9;CODE; ;A;1281/001;6;ANS;L
;STOCK NUMBER;null;CODE;STOCK;B;1012/073;1-20;ANS;L
4 M;SHORT TITLE;36;TITLE; ; ;1022/087;3-12;ANS;L
5 O;STOCK ITEM QUANTITY AND UNIT OF MEASUREMENT;49;QUANTITY; ;A;2401/001;2-9;AN;R
;QUANTITY ON HAND;null;QUANTITY; ;B;1044/110;1-6;N;R
6 C;DAYS OF SUPPLY;59;ALLOW; ;A;1055/002;1-4;N;R
;ROUNDS PER WEAPON;null;ALLOW;RW;B;1044/356;1-4;N;R
7 O;DATA ENTRY;67;DE; ; ;1348/001;2;N;R
