FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;NUMBER OF PASSENGERS;1;PAX; ; ;1044/088;1-4;N;R
2 M;PASSENGER WEIGHT;6;TOTWGT; ; ;2185/007;3-11;ANS;R
3 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;18;EMBARK; ;A;2023/001;11;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;EMBARK; ;B;2024/001;15;AN;L
;GEOGRAPHIC POSITION, UTM 100-METRE;null;EMBARK; ;C;2087/001;11;AN;L
;GEOGRAPHIC POSITION, UTM 10-METRE;null;EMBARK; ;D;2086/001;13;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;EMBARK; ;E;2017/001;8;AN;L
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;EMBARK; ;F;2018/001;12;AN;L
;ICAO LOCATION IDENTIFIER;null;EMBARK; ;G;1125/001;4;AN;L
;LOCATION OR POSITION NAME;null;EMBARK;N;H;1022/006;1-15;X;L
4 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;36;DEBARK; ;A;2023/001;11;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;DEBARK; ;B;2024/001;15;AN;L
;GEOGRAPHIC POSITION, UTM 100-METRE;null;DEBARK; ;C;2087/001;11;AN;L
;GEOGRAPHIC POSITION, UTM 10-METRE;null;DEBARK; ;D;2086/001;13;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;DEBARK; ;E;2017/001;8;AN;L
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;DEBARK; ;F;2018/001;12;AN;L
;ICAO LOCATION IDENTIFIER;null;DEBARK; ;G;1125/001;4;AN;L
;LOCATION OR POSITION NAME;null;DEBARK;N;H;1022/006;1-15;X;L
5 M;PREFERRED AIR PASSENGER DELIVERY METHOD;54;PREFDEL; ; ;2184/001;7;A;L
6 O;AIRFIELD RESTRICTIONS INDICATOR;62;R; ; ;1359/003;1;A;L
7 O;NUMBER OF HELICOPTER LANDING POINTS;64;HEL; ; ;1044/156;1-2;N;R
