FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;EXPECTED DAY-TIME AND MONTH OF ARRIVAL;1;ETA; ; ;2030/021;10;AN;L
2 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;12;LOCATION; ;A;2023/001;11;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;LOCATION; ;B;2024/001;15;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;LOCATION; ;C;2017/001;8;AN;L
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;LOCATION; ;D;2018/001;12;AN;L
;GEOGRAPHIC POSITION, UTM 100-METRE;null;LOCATION; ;E;2087/001;11;AN;L
;GEOGRAPHIC POSITION, UTM 10-METRE;null;LOCATION; ;F;2086/001;13;AN;L
;ICAO LOCATION IDENTIFIER;null;LOCATION; ;G;1125/001;4;AN;L
;LOCATION OR POSITION NAME;null;LOCATION;N;H;1022/006;1-15;X;L
3 O;ESTIMATED DAY-TIME AND MONTH OF DEPARTURE;30;ETD; ; ;2030/020;10;AN;L
