FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;DATA ENTRY;1;DE; ; ;1348/001;2;N;R
2 M;PREFERRED AIR CARGO DELIVERY METHOD;4;PREFDEL; ; ;2183/001;7;A;L
3 O;REASON FOR PREFERRED DELIVERY METHOD;12;REA; ; ;1350/001;3;A;L
4 M;AIRLIFT PRIORITY INDICATOR;16;PRI; ; ;1355/001;1-2;AN;L
5 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;20;EMBARK; ;A;2023/001;11;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;EMBARK; ;B;2024/001;15;AN;L
;GEOGRAPHIC POSITION, UTM 100-METRE;null;EMBARK; ;C;2087/001;11;AN;L
;GEOGRAPHIC POSITION, UTM 10-METRE;null;EMBARK; ;D;2086/001;13;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;EMBARK; ;E;2017/001;8;AN;L
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;EMBARK; ;F;2018/001;12;AN;L
;ICAO LOCATION IDENTIFIER;null;EMBARK; ;G;1125/001;4;AN;L
;LOCATION OR POSITION NAME;null;EMBARK;N;H;1022/006;1-15;X;L
6 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;38;DEBARK; ;A;2023/001;11;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;DEBARK; ;B;2024/001;15;AN;L
;GEOGRAPHIC POSITION, UTM 100-METRE;null;DEBARK; ;C;2087/001;11;AN;L
;GEOGRAPHIC POSITION, UTM 10-METRE;null;DEBARK; ;D;2086/001;13;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;DEBARK; ;E;2017/001;8;AN;L
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;DEBARK; ;F;2018/001;12;AN;L
;ICAO LOCATION IDENTIFIER;null;DEBARK; ;G;1125/001;4;AN;L
;LOCATION OR POSITION NAME;null;DEBARK;N;H;1022/006;1-15;X;L
7 O;AIRFIELD RESTRICTIONS INDICATOR;56;R; ; ;1359/003;1;A;L
8 O;NUMBER OF HELICOPTER LANDING POINTS;58;HEL; ; ;1044/156;1-2;N;R
