FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;EMITTER NAME;1;EMITTYP; ;A;1022/225;1-10;X;L
;EMITTER TYPE;null;EMITTYP;TYPE;B;1135/026;3-7;A;L
2 O;ELINT NOTATION;14;ELNOT; ;A;1012/034;5;AN;L
;SORTING CODE;null;ELNOT; ;B;1012/076;4;AN;L
3 M;RADIO/RADAR FUNCTION;20;FC; ; ;1471/001;2;A;L
4 M;LOWER RADIO FREQUENCY LIMIT;23;LOWFRQ; ;A;2383/005;3-11;ANS;R
;LOWER FREQUENCY PULSES PER SECOND;null;LOWFRQ; ;B;2493/002;4-11;ANS;R
5 M;UPPER RADIO FREQUENCY LIMIT;35;UPFRQ; ;A;2383/006;3-11;ANS;R
;UPPER FREQUENCY PULSES PER SECOND;null;UPFRQ; ;B;2493/003;4-11;ANS;R
6 O;ELECTRONIC ATTACK (EA) TECHNIQUE;47;EA-TECQ; ; ;1643/003;6-9;A;L
