FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;POINT NUMBER;1;PN; ; ;1012/257;1-2;N;R
2 M;GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;4;ROUTEPT; ;A;2496/001;19;ANS;L
;GEOGRAPHIC POSITION, LAT/LONG, CENTIMINUTES;null;ROUTEPT; ;B;2338/001;17;ANS;L
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;null;ROUTEPT; ;C;2023/001;11;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;ROUTEPT; ;D;2017/001;8;AN;L
;POSITION, TRUE BEARING AND RANGE IN NM;null;ROUTEPT; ;E;2281/001;7-20;X;L
;POSITION OR POINT NAME;null;ROUTEPT;N;F;1022/018;1-20;X;L
;ICAO BASE CODE;null;ROUTEPT; ;G;1125/002;4;AN;L
;GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;null;ROUTEPT; ;H;2128/001;10;AN;L
;GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;null;ROUTEPT; ;I;2126/001;8;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;null;ROUTEPT; ;J;2044/001;18;ANS;L
3 M;ROUTE POINT TYPE;27;TYP; ; ;1284/013;2-3;A;L
4 O;RELATIVE AIRCRAFT ARRIVAL TIME;31;ATIME; ;A;2482/003;6;ANS;L
;DAY-TIME OF ARRIVAL;null;ATIME; ;B;2000/002;7;AN;L
5 C;SPEED OF MOVEMENT IN MPH, KPS, KPH OR MPS;39;TAS; ; ;2481/001;4-8;ANS;R
6 O;ALTITUDE IN HUNDREDS OF FEET, 0-999;48;ALT; ; ;1255/014;1-3;N;R
