FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;MISSION NUMBER;1;MSNNO; ; ;1012/069;1-8;X;L
2 M;AIRCRAFT CALL SIGN, ABBREVIATED;10;ACSIGN; ; ;1129/034;1-12;X;L
3 M;NUMBER OF AIRCRAFT, 0-99;23;NO; ; ;1044/322;1-2;N;R
4 M;AIRCRAFT TYPE AND MODEL;26;ACTYPE;AC;A;1015/020;2-6;AN;L
;AIRCRAFT TYPE AND MODEL, OTHER;null;ACTYPE;OT;B;1015/018;2-6;AN;L
5 M;AERIAL MISSION TYPE;36;MSNTY; ; ;1285/029;2-6;AN;L
6 M;DAY-TIME ON STATION;43;TOSTA; ; ;2000/033;7;AN;L
7 O;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;51;RIP; ;A;2023/001;11;AN;L
;GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;null;RIP; ;B;2128/001;10;AN;L
;GEOGRAPHIC POSITION, UTM 10-METRE;null;RIP; ;C;2086/001;13;AN;L
;GEOGRAPHIC POSITION, UTM 100-METRE;null;RIP; ;D;2087/001;11;AN;L
;GEOGRAPHIC POSITION, GEOREF, MINUTE;null;RIP; ;E;2017/001;8;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED;null;RIP; ;F;2043/001;14;ANS;L
