FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;MISSION NUMBER;1;MSNNO; ; ;1012/069;1-8;X;L
2 M;MISSION LOCATION TYPE;10;LOCTYP; ; ;1284/004;2-6;A;L
3 M;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;17;LOCN; ;A;2024/001;15;AN;L
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;null;LOCN; ;B;2023/001;11;AN;L
;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);null;LOCN; ;C;2431/001;5-20;X;L
;MISSION LOCATION NAME;null;LOCN;N;D;1022/107;1-18;X;L
;ICAO LOCATION IDENTIFIER;null;LOCN;ID;E;1125/001;4;AN;L
;ICAO LOAD BASE;null;LOCN;LB;F;1125/003;4;AN;L
;MISSION LOCATION, ABCA TARGET NUMBER;null;LOCN; ;G;2120/002;7;AN;L
;MISSION LOCATION, THEATER TARGET ID NUMBER;null;LOCN; ;H;2121/002;10;AN;L
;MISSION LOCATION, BE NUMBER WITH SUFFIX;null;LOCN; ;I;2122/002;13;ANS;L
;MISSION LOCATION, UTM 10-METRE;null;LOCN; ;J;2086/042;13;AN;L
;MISSION LOCATION, UTM 100-METRE;null;LOCN; ;K;2087/041;11;AN;L
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;LOCN; ;L;2018/001;12;AN;L
4 O;ALTITUDE IN HUNDREDS OF FEET;38;ALTITUDE; ;A;1255/001;3;N;R
;FLIGHT LEVEL;null;ALTITUDE; ;B;2129/001;5;AN;L
5 O;MISSION LOCATION COMMENT;47;CMNT; ; ;1357/008;1-22;X;L
