FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;MISSION NUMBER;1;MSNNO; ; ;1012/069;1-8;X;L
2 M;WMO SIGNIFICANT PRESENT AND FORECAST WEATHER CODES;10;WEATHER;WMO;A;1386/007;2-7;A;L
;MOST SIGNIFICANT WEATHER CODE;null;WEATHER; ;B;1386/008;1-3;A;L
3 O;VISIBILITY;22;VIS; ; ;2059/015;2-7;ANS;L
4 O;CLOUD BASE ALTITUDE IN HUNDREDS OF FEET;30;BASE; ; ;1255/006;3;N;R
5 O;WIND DIRECTION IN DEGREES TRUE, GRID OR MAGNETIC;35;WD; ;A;2130/001;4;AN;L
;WIND DIRECTION QUALIFIER;null;WD; ;B;1130/005;3;AN;L
6 O;AVERAGE WIND SPEED;40;WNDSPD; ; ;2063/005;4-7;ANS;L
7 O;PEAK GUSTS;48;PK-GUST; ; ;2063/006;4-7;ANS;L
8 O;SEA STATE;56;SS; ; ;1392/001;1;N;R
9 O;WEATHER COMMENTS;59;CMNT; ; ;1357/012;1-10;X;L
