FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;COMMUNICATION LINE ACCESS; ; ;1666/004;1-20;X
2 O;START POSITION, UTM 10-METRE; ;A;2086/062;13;AN
;START POSITION, UTM 100-METRE; ;B;2087/062;11;AN
;START POSITION, LAT/LONG, SECONDS; ;C;2024/004;15;AN
3 O;END POSITION, UTM 10-METRE; ;A;2086/063;13;AN
;END POSITION, UTM 100-METRE; ;B;2087/063;11;AN
;END POSITION, LAT/LONG, SECONDS; ;C;2024/032;15;AN
4 O;DIRECTION OF APPROACH, DEGREES TRUE, GRID OR MAGNETIC; ; ;2065/019;4;AN
5 O;RECOMMENDATION OF APPROACH; ; ;1027/048;2-3;A
* 6 O;KEYPOINT DESCRIPTION; ; ;1363/039;1-30;X
* 7 O;GEOGRAPHIC POSITION, UTM 10-METRE; ;A;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;B;2087/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C;2024/001;15;AN
* 8 O;OPERATIONAL STATUS OF ACCESS; ; ;1236/026;3-7;A
* 9 C;CAUSE OF DAMAGE/STATUS DEGRADE; ; ;1235/003;2-5;A
