FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CONTACT SERIAL NUMBER; ; ;1012/067;1-3;N
2 M;UNIT; ; ;1022/057;1-30;X
3 M;LOCATING REPORT NUMBER; ;A;2296/001;3-4;AN
;NOT REPORTED IN FLIGHT; ;B;1449/001;4;A
4 M;AIRCRAFT TYPE/MODEL; ; ;1015/004;2-6;AN
5 M;CREDIBILITY; ; ;1461/001;3-4;A
6 M;NUMBER OF AIRCRAFT, 1-99; ; ;1044/143;1-2;N
7 M;FLAG; ; ;1026/003;2;A
8 M;CONTACT PHOTO STATUS; ; ;1450/001;3;A
9 O;AIRCRAFT CONTACT ALTITUDE IN HUNDREDS OF FEET; ;A;2164/003;6;AN
;FLIGHT LEVEL; ;B;2129/001;5;AN
