FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DROP ZONE ELEVATION IN FEET; ; ;1799/002;1-5;NS
2 M;GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;GEOK;A;2496/001;19;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;B;2024/001;15;AN
;GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;AUTMT;C;2128/001;10;AN
;GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;AUTMO;D;2126/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEOREFC;E;2018/001;12;AN
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED;VGEOK;F;2201/001;22;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;G;2200/001;22;ANS
3 M;GEODETIC DATUM; ; ;1195/001;3-25;X
4 O;RUN IN HEADING IN DEGREES MAGNETIC; ; ;1804/004;3;N
5 O;DISTANCE BETWEEN LEADING EDGE AND IMPACT POINT IN METRES; ; ;1052/003;1-5;N
6 O;DROP ZONE LENGTH IN METRES; ; ;1657/009;1-4;N
7 C;DROP ZONE WIDTH IN METRES; ; ;1658/009;1-4;N
8 O;METHOD OF MARKING FRIENDLY POSITIONS; ; ;1613/002;5-6;A
9 C;COLOUR; ; ;1138/001;3-6;A
