FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DATA ENTRY; ; ;1348/001;2;N
2 M;AIRLIFT MISSION DEVIATION INDICATOR; ; ;1401/003;7;A
3 C;EXPLANATION; ; ;1357/003;1-67;X
* 4 C;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;2024/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;C;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;D;2018/001;12;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;E;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;F;2086/001;13;AN
;ICAO LOCATION IDENTIFIER; ;G;1125/001;4;AN
;LOCATION OR POSITION NAME;N;H;1022/006;1-15;X
