FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TIMING REFERENCE POINT (TRP) DESIGNATOR; ; ;1796/002;1-3;AN
2 M;GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;GEOK;A;2496/001;19;ANS
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;B;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;VLATS;C;2044/001;18;ANS
;LOCATION NAME;NAME;D;1022/004;1-20;X
;GEOGRAPHIC POSITION, UTM 1-METRE;UTM;E;2089/001;15;AN
;GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;F;2086/001;13;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE;GEOREFM;G;2017/001;8;AN
3 O;TIME REFERENCE POINT (TRP) DESCRIPTION; ; ;1363/047;1-20;X
4 O;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;1068/013;1-8;NS
;PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;1396/002;1-8;AN
5 O;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;1068/014;1-8;NS
;SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;1396/003;1-8;AN
