FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;AIRCRAFT CALL SIGN, ABBREVIATED; ; ;1129/034;1-12;X
2 M;MISSION NUMBER; ; ;1012/069;1-8;X
3 M;IFF/SIF MODE AND CODE, NON-HYPHENATED; ; ;2500/001;3-5;N
4 M;LOCATION NAME;NAME;A;1022/004;1-20;X
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;B;2023/001;11;AN
;POSITION, TRUE BEARING AND RANGE IN NM;BAR;C;2281/001;7-20;X
5 M;ALTITUDE IN HUNDREDS OF FEET, 0-999; ; ;1255/014;1-3;N
6 M;DAY-TIME OF AIR REFUELLING CONTROL;ARCT; ;2000/081;7;AN
7 O;DAY-TIME AND MONTH OF END AIR REFUELLING;NDAR; ;2030/045;10;AN
8 M;FUEL IN THOUSANDS OF POUNDS, DECIMAL POINT PERMITTED;KLBS; ;1578/004;3-5;NS
9 M;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;1068/013;1-8;NS
;PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;1396/002;1-8;AN
10 O;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;1068/014;1-8;NS
;SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;1396/003;1-8;AN
11 O;REFUELLING AIRCRAFT TYPE;ACTYP;A;1015/019;3-6;AN
;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;B;1015/018;2-6;AN
12 O;AERIAL REFUELLING SYSTEM, SPECIFIC; ; ;1579/002;3;A
13 O;NUMBER OF AIRCRAFT IN CELL; ; ;1044/329;1-2;N
14 O;CELL SEQUENCE NUMBER; ;A;1012/253;1;N
;CELL SEQUENCE NUMBERS; ;B;2436/001;3;NS
15 O;TACAN CHANNEL, RECEIVER AND TANKER; ; ;2486/001;3-7;NS
16 O;BEACON; ; ;2497/001;5;NS
