FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TYPE OF AIRCRAFT CONTROL AGENCY; ; ;1395/005;3-4;A
2 M;CALL SIGN OF CONTROL AGENCY; ; ;1129/010;1-15;X
3 M;TASKED EQUIPMENT; ; ;1135/024;1-20;X
4 M;AERIAL MISSION TYPE; ; ;1285/029;2-6;AN
5 O;STATE OF EMISSION; ; ;1584/004;1-20;X
6 O;OPERATIONAL CONTROL AUTHORITY; ; ;1028/008;1-20;X
7 O;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;1068/013;1-8;NS
;PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;1396/002;1-8;AN
8 O;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;1068/014;1-8;NS
;SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;1396/003;1-8;AN
