FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME SET WATCH; ;A;2000/005;7;AN
;DAY-TIME SET WATCH, VERIFIED; ;B;2013/004;8;AN
2 M;AREA BROADCAST DESIGNATOR; ;A;2144/001;4-5;AN
;SHIP-SHORE COMMUNICATION IDENTIFIER;SSCOM;B;2028/001;5-6;ANS
;NAVAL/AMPHIBIOUS COMMUNICATIONS NET LINE NUMBER; ;C;1012/018;3;N
;LOCAL/HARBOUR COMMUNICATION IDENTIFIER; ;D;2031/001;6-7;ANS
;BROADCAST CALL SIGN;BCS;E;1129/004;1-6;AN
;MULTICHANNEL AREA BROADCAST DESIGNATOR;MCBD;F;2359/001;6-7;AN
* 3 O;DAY-TIME SHIFT WATCH; ;A;2000/006;7;AN
;DAY-TIME SHIFT WATCH, VERIFIED; ;B;2013/005;8;AN
* 4 O;AREA BROADCAST DESIGNATOR; ;A;2144/001;4-5;AN
;SHIP-SHORE COMMUNICATION IDENTIFIER;SSCOM;B;2028/001;5-6;ANS
;NAVAL/AMPHIBIOUS COMMUNICATIONS NET LINE NUMBER; ;C;1012/018;3;N
;LOCAL/HARBOUR COMMUNICATION IDENTIFIER; ;D;2031/001;6-7;ANS
;BROADCAST CALL SIGN;BCS;E;1129/004;1-6;AN
;MULTICHANNEL AREA BROADCAST DESIGNATOR;MCBD;F;2359/001;6-7;AN
