FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;BOUNDARY LOWER LIMIT, SPEED IN KNOTS;SPD;A;2370/003;5-6;AN
;BOUNDARY LOWER LIMIT, FLIGHT LEVEL; ;B;2129/005;5;AN
;BOUNDARY LOWER LIMIT, ALTITUDE IN HUNDREDS OF FEET; ;C;2164/006;6;AN
;LOWER LIMIT, HEADING;HDG;D;2368/002;4;AN
;ABOVE MEAN SEA LEVEL DATA QUALIFIER; ;E;1130/041;4;A
* 2 M;BOUNDARY UPPER LIMIT, SPEED IN KNOTS;SPD;A;2370/002;5-6;AN
;BOUNDARY UPPER LIMIT, FLIGHT LEVEL; ;B;2129/006;5;AN
;BOUNDARY UPPER LIMIT, ALTITUDE IN HUNDREDS OF FEET; ;C;2164/007;6;AN
;UPPER LIMIT, HEADING;HDG;D;2368/003;4;AN
;ABOVE MEAN SEA LEVEL DATA QUALIFIER; ;E;1130/041;4;A
