FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME OF BEARING; ;A;2000/021;7;AN
;DAY-TIME OF BEARING, VERIFIED; ;B;2013/028;8;AN
2 M;BEARING ORIGIN, LAT/LONG, MINUTES, VERIFIED; ;A;2043/026;14;ANS
;BEARING ORIGIN, LAT/LONG, MINUTES; ;B;2023/002;11;AN
;REFERENCE POINT IDENTIFIER; ;C;1012/091;2;AN
3 M;BEARING, DEGREES TRUE; ; ;2253/001;4;AN
4 O;SECTOR HALF-WIDTH DISTANCE, NAUTICAL MILES; ;A;2280/004;3-6;AN
;SECTOR HALF-WIDTH (DEGREE); ;B;2278/002;4-6;AN
5 O;LINE OF BEARING (LOB) RANGE, NAUTICAL MILES; ; ;2272/005;3-7;ANS
6 O;ACOUSTIC SENSOR; ; ;1434/005;2-6;AN
