FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME OF SONOBUOY DROP, VERIFIED; ;A;2013/036;8;AN
;DAY-TIME OF SONOBUOY DROP; ;B;2000/036;7;AN
2 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;C;2044/001;18;ANS
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;D;2024/001;15;AN
3 M;SONOBUOY TYPE; ; ;1444/001;5-7;AN
4 M;SONOBUOY DEPTH SETTING, FEET OR METRES, DECIMAL PERMITTED; ; ;2264/002;2-7;ANS
5 M;SONOBUOY LIFE SETTING, HOURS OR MINUTES; ; ;2288/002;3-6;ANS
6 M;SONOBUOY CHANNEL NUMBER; ; ;2295/001;4;AN
