FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;PLANNED OPERATIONAL COMMAND; ;A ;1028/004;1-13;X
;PLANNED OPERATIONAL COMMAND UIC;UIC;B ;2141/006;7-9;AN
2 O;PLANNED OPERATIONAL CONTROL; ;A ;1028/005;1-13;X
;PLANNED OPERATIONAL CONTROL UIC;UIC;B ;2141/012;7-9;AN
3 O;PLANNED TASK DESIGNATOR; ; ;1037/002;1-9;X
4 O;NATIONAL PARENT IDENTIFIER; ;A ;1028/006;1-9;X
;NATIONAL PARENT UIC;UIC;B ;2141/007;7-9;AN
5 O;NATO PARENT IDENTIFIER; ;A ;1028/007;1-9;X
;NATO PARENT UIC;UIC;B ;2141/008;7-9;AN
6 O;PLANNED TOA COMMAND; ; ;1071/002;2;A
7 O;PLANNED TOA CONTROL; ; ;1071/003;2;A
