FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CFE EQUIPMENT CHANGE TYPE; ; ;1504/002;3-5;A
2 M;REASON FOR CFE CHANGE; ; ;1505/002;4-9;AS
3 O;GEOGRAPHIC PLACE NAME;FROM;A ;1022/090;1-30;X
;GEOGRAPHIC PLACE NAME;TO;B ;1022/090;1-30;X
4 O;GEOGRAPHICAL ENTITY; ; ;1026/001;2;A
5 O;FORMER SOVIET MILITARY DISTRICT; ; ;1502/002;2;A
6 O;ARMS CONTROL ID OF RECEIVING OR TRANSFERRING UNIT; ; ;2306/005;4-15;X
7 O;ENTITY NAME; ; ;1022/150;1-35;X
8 O;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ; ;2024/001;15;AN
9 O;BASIC ENCYCLOPEDIA SYNONYM; ; ;1012/151;12;ANS
10 O;DECLARED SITE RECORD NUMBER; ; ;2405/001;7-15;X
