FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CENTRE, LAT/LONG, MINUTES, VERIFIED; ;A;2043/017;14;ANS
;ORIGIN PLACE NAME;NAME;B;1022/109;1-20;X
;ORIGIN, BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;C;2307/002;10-27;X
;CENTRE, UTM 10-METRE; ;D;2086/045;13;AN
;CENTRE POSITION, GEOREF, CENTIMINUTE; ;E;2018/017;12;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;F;2044/001;18;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;G;2200/001;22;ANS
;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;H;2202/001;11-36;X
;Q-ROUTE POSITION;POSIT;I;2203/001;7-13;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;J;2201/001;22;ANS
;GEOGRAPHIC POSITION, UTM 1-METRE; ;K;2089/001;15;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;L;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 1,000-METRE; ;M;2088/001;9;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;N;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;O;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;P;2020/001;10;AN
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;Q;2023/001;11;AN
;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;R;2016/001;6-46;X
;UNIT;UNIT;S;1022/057;1-30;X
* 2 M;RADIUS, YD, KYD OR NM; ; ;2433/001;3-8;ANS
