FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RADIO FREQUENCY; ;A;2064/001;3-14;ANS
;COMMUNICATIONS NET DESIGNATOR;CND;B;1305/001;1-10;X
;CIRCUIT TITLE;CCT;C;1022/142;1-30;X
;COMMUNICATION LINE NUMBER;LINE;D;1012/116;3-7;AN
2 M;GUARD REQUIREMENTS; ; ;1246/023;1-3;A
3 M;KEYMAT AND CODES;KEY;A;1078/001;8-12;AN
;IDENTIFIER, NON-DISCRETE INDICATOR; ;B;1084/004;2-11;AB
4 M;DAY-TIME OF START, VERIFIED; ;A;2013/008;8;AN
;DATE-TIME MONTH OF START, VERIFIED; ;B;2032/003;11;AN
5 M;DAY-TIME OF STOP, VERIFIED; ;A;2013/009;8;AN
;DATE-TIME MONTH OF STOP, VERIFIED; ;B;2032/004;11;AN
6 M;UNIT; ;A;1022/057;1-30;X
;NAVAL TASK DESIGNATOR;NTD;B;2143/002;3-15;ANS
;GUARD UNIT NAME;GUARD;C;1022/128;1-38;X
* 7 C;STANDBY UNIT; ; ;1022/062;1-38;X
