FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TRANSMISSION MODE; ;A;1181/001;2-9;AB
;TRANSMISSION FREQUENCY MODE; ;B;1175/004;2-3;A
2 M;NUMBER OF MESSAGES SENT TO AIRCRAFT; ; ;1044/127;1-2;N
3 M;NUMBER OF MESSAGES RECEIVED BY AIRCRAFT; ; ;1044/183;1-2;N
4 M;RELIABILITY; ; ;1064/007;1-3;N
5 M;COMMUNICATION LOW RELIABILITY CAUSE; ; ;1481/001;2-3;A
6 M;NUMBER OF MESSAGES SENT BY AIRCRAFT; ; ;1044/184;1-2;N
7 M;NUMBER OF MESSAGES RECEIVED BY GROUND STATION; ; ;1044/191;1-2;N
8 M;RELIABILITY; ; ;1064/007;1-3;N
9 O;COMMUNICATION LOW RELIABILITY CAUSE; ; ;1481/001;2-3;A
