FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TYPE OF AIRCRAFT CONTROL AGENCY; ; ;1395/005;3-4;A
2 M;CONTROL AGENCY CALL SIGN, EXTENDED; ; ;1129/030;1-17;X
3 M;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;1068/013;1-8;NS
;PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;1396/002;1-8;AN
4 O;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;1068/014;1-8;NS
;SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;1396/003;1-8;AN
5 O;LOCATION NAME;NAME;A;1022/004;1-20;X
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;B;2024/001;15;AN
;REPORT-IN POINT, LAT/LONG, MINUTES;LATM;C;2023/048;11;AN
;GEOGRAPHIC POSITION, UTM 1-METRE;UTM;D;2089/001;15;AN
;GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;E;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;F;2087/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED;VGEOK;G;2201/001;22;ANS
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;H;2200/001;22;ANS
