FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;VESSEL TYPE; ; ;1036/001;2-4;A
2 M;SHIP NAME; ; ;1022/049;1-38;X
3 M;FLAG; ; ;1026/003;2;A
4 O;INTERNATIONAL RADIO CALL SIGN; ; ;1129/003;4-8;AN
5 O;SHIP LENGTH, FEET OR METRES; ; ;2266/002;2-7;ANS
6 O;SHIP BEAM, FEET OR METRES; ; ;2352/001;2-6;ANS
7 O;SHIP DRAFT, FEET OR METRES; ; ;2357/001;2-6;ANS
8 O;SHIP DISPLACEMENT; ; ;1440/002;1-6;N
9 O;MINIMUM SPEED IN KNOTS; ; ;1061/005;1-2;N
10 O;MAXIMUM SPEED IN KNOTS; ; ;1061/006;1-2;N
11 O;TYPE OF CARGO EMBARKED; ; ;1534/001;1-30;X
