FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DATA ENTRY; ; ;1348/001;2;N
2 M;DROP ZONE INDICATOR; ; ;1246/002;1;A
3 M;RUN-IN HEADING, DEGREES MAGNETIC; ; ;2186/002;4;AN
4 M;LENGTH OF DROP ZONE IN METRES OR FEET;LNGTH; ;2189/002;2-6;AN
5 M;WIDTH OF DROP ZONE IN METRES OR FEET;WIDTH; ;2189/003;2-6;AN
6 M;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;2024/001;15;AN
;LOCATION, DECISECONDS; ;B;2187/001;19;ANS
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;C;2018/001;12;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;D;2086/001;13;AN
;GEOGRAPHIC POSITION, UTM 1-METRE; ;E;2089/001;15;AN
7 M;DROP ZONE CALL SIGN; ; ;1129/002;1-20;X
8 M;ACE UIC;ACE;A;2141/005;7-9;AN
;UNIT IDENTIFIER; ;B;1028/001;1-20;X
* 9 M;COMMUNICATIONS CODE; ;A;1149/001;1-14;ANB
;PRIMARY FREQUENCY;PRI;B;2064/003;3-14;ANS
;SECONDARY FREQUENCY;SEC;C;2064/004;3-14;ANS
;TERTIARY FREQUENCY;TER;D;2064/002;3-14;ANS
