FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LOCATION OF SIGHTING, UTM 1-METRE; ;A;2089/005;15;AN
;LOCATION OF SIGHTING, UTM 10-METRE; ;B;2086/005;13;AN
;LOCATION OF SIGHTING, UTM 100-METRE; ;C;2087/005;11;AN
;LOCATION OF SIGHTING, UTM 1000-METRE; ;D;2088/005;9;AN
2 M;EARLY WARNING BEARING IN DEGREES, TRUE; ; ;1439/003;3-5;NS
3 M;VERIFIED COUNT OF AIRCRAFT; ; ;2091/001;2-4;ANS
4 M;AIRCRAFT GENERIC CATEGORY; ; ;1301/001;1-4;A
5 M;ALTITUDE IN FEET; ;A;1290/001;1-5;N
;GENERAL INDICATOR OF ALTITUDE; ;B;1540/005;1-2;A
6 M;AIRCRAFT SPEED IN KILOMETRES PER HOUR; ;A;1267/002;1-4;N
;GENERAL INDICATOR OF AIRCRAFT SPEED; ;B;1113/002;4-5;A
