FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ACTIVITY TYPE; ; ;1299/001;1-8;A
2 M;ACTIVITY LOCATION, LAT/LONG, MINUTES; ;A;2023/045;11;AN
;LOCATION, UTM 10-METRE; ;B;2086/020;13;AN
;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;C;2016/001;6-46;X
;ACTIVITY LOCATION NAME;N;D;1022/103;1-20;X
;GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE; ;E;2128/001;10;AN
;GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE; ;F;2126/001;8;AN
;ACTIVITY LOCATION, LAT/LONG, SECONDS; ;G;2024/029;15;AN
3 O;DAY-TIME OF ACTIVITY;TIME; ;2000/072;7;AN
4 O;VERIFIED ENEMY UNIT IDENTIFIER;ENUNIT; ;2102/001;2-19;X
