FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;INCIDENT POSITION, LAT/LONG, MINUTES;LATM;A;2023/018;11;AN
;LOCATION, UTM 1,000-METRE;UTMK;B;2088/020;9;AN
;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;C;2431/001;5-20;X
;ACTIVITY LOCATION NAME;NAME;D;1022/103;1-20;X
2 M;DAY-TIME OF EVENT; ; ;2000/009;7;AN
3 M;FLIGHT LEVEL; ;A;2129/001;5;AN
;ALTITUDE IN HUNDREDS OF FEET;ALT;B;1255/001;3;N
;ALTITUDE IN FEET ABOVE GROUND LEVEL (AGL);AGL;C;1290/002;1-5;N
4 M;NUMBER OF AIRCRAFT, 0-99; ; ;1044/322;1-2;N
5 M;AIRCRAFT TYPE AND MODEL; ; ;1015/020;2-6;AN
6 O;NATIONALITY; ; ;1026/002;2;A
7 M;ENEMY ALTITUDE IN HUNDREDS OF FEET; ; ;1255/015;3;N
8 M;ENEMY HEADING IN DEGREES, TRUE; ; ;1791/009;3;N
9 M;ENEMY AIRCRAFT SPEED; ; ;2063/009;4-7;ANS
10 M;DESCRIPTION OF ENEMY FORMATION; ; ;1363/050;1-20;X
11 M;DECRIPTION OF ENEMY MANEUVERS; ; ;1363/051;1-20;X
12 M;RANGE OF ENEMY MANEUVERS, NAUTICAL MILES; ; ;2272/008;3-7;ANS
13 M;RADAR WARNING RECEIVER INDICATIONS; ; ;1363/052;1-20;X
14 M;QUANTITY OF ORDNANCE EXPENDED; ; ;1044/225;1-5;N
15 M;ORDNANCE/WEAPON TYPE, AIR-TO-AIR; ; ;1407/031;3-6;AN
16 M;NUMBER OF ENEMY AIRCRAFT DESTROYED; ; ;1044/141;1-2;N
17 M;DESCRIPTION OF FRIENDLY COUNTERTACTICS; ; ;1363/053;1-38;X
