FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ENVIRONMENTAL ACOUSTIC INFORMATION SOURCE; ; ;1474/002;2-3;A
2 M;FREQUENCY OF INTEREST; ; ;2283/003;3-8;ANS
3 M;ACOUSTIC SENSOR; ; ;1434/005;2-6;AN
4 M;PREDICTED FIGURE OF MERIT; ; ;2290/002;3-5;AN
5 M;ACTUAL FIGURE OF MERIT; ; ;2290/003;3-5;AN
6 M;PREDICTED MEDIAN DETECTION RNG YARDS, KILOYARDS OR NM; ; ;2275/002;3-8;ANS
7 M;ACTUAL MEDIAN DETECTION RANGE, YARDS, KILOYARDS OR NM; ; ;2275/003;3-8;ANS
8 O;BOTTOM BOUNCE DETECTION; ; ;1477/001;3-5;A
9 O;FIRST CZ MINIMUM-MAXIMUM RANGE; ; ;2289/002;5-11;ANS
10 O;FIRST CZ SIGNAL EXCESS; ; ;2291/002;3-4;AN
11 O;SECOND CZ SIGNAL EXCESS; ; ;2291/003;3-4;AN
