FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;UNIT DESIGNATION NAME; ; ;1022/039;1-15;ANS
2 M;VERIFIED UNIT SIZE INDICATOR; ; ;2392/001;2-8;AS
3 M;VERIFIED NATIONALITY; ; ;2082/001;3;AS
4 M;VERIFIED UNIT ROLE INDICATOR CODE 'A'; ; ;2393/001;3-7;AS
5 M;VERIFIED UNIT ROLE INDICATOR CODE 'B'; ; ;2394/001;3-7;AS
6 M;VERIFIED UNIT ROLE INDICATOR CODE 'C'; ; ;2395/001;3-7;AS
7 M;VERIFIED UNIT ROLE INDICATOR CODE 'D'; ; ;2396/001;3-7;AS
8 M;VERIFIED HIGHER FORMATION NAME; ; ;2397/001;2-16;ANS
9 M;VERIFIED ARMED SERVICE; ; ;2071/001;2;AS
10 C;UNIDENTIFIED ENEMY UNIT ADDRESSING NUMBER; ;A ;2150/001;5;AN
;UNKNOWN ENEMY UNIT ADDRESSING NUMBER; ;B ;2151/001;7;AN
