FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SEQUENCE INDICATOR OF LOCATION OR UNIT TRANSFERRING; ; ;1494/003;1;A
2 M;CFE EQUIPMENT CHANGE TYPE; ; ;1504/002;3-5;A
3 M;NUMBER OF ITEMS OF EQUIPMENT RECEIVED OR TRANSFERRED; ; ;1044/098;1-4;N
4 M;CFE TREATY COUNTRY; ; ;1026/010;2;A
5 C;GEOGRAPHIC PLACE NAME; ; ;1022/090;1-30;X
6 C;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ; ;2024/001;15;AN
7 O;DECLARED SITE RECORD NUMBER; ; ;2405/001;7-15;X
8 C;CFE UNIT RECORD NUMBER; ; ;2306/002;4-15;X
9 C;DATE OF DEPARTURE, DDMMYYYY; ; ;2052/004;8;N
10 C;DATE OF ARRIVAL, DDMMYYYY; ; ;2052/005;8;N
11 C;PROJECTED STAY/ABSENCE IN DAYS; ; ;1055/009;1-3;N
12 O;REMARK INDICATOR; ; ;2269/001;4-8;X
