FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NUMBER ESCORTED; ; ;1044/330;2;N
2 M;AIRCRAFT TYPE AND MODEL;ACTYP;A;1015/020;2-6;AN
;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;B;1015/018;2-6;AN
;VEHICLE NAME;NAME;C;1022/224;1-23;X
;AIRCRAFT CATEGORY, ABBREVIATED;ACCAT;D;1549/002;1-6;A
3 O;ESCORTED CALL SIGN; ; ;1129/038;1-12;X
4 O;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;1068/013;1-8;NS
;PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;1396/002;1-8;AN
5 O;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;1068/014;1-8;NS
;SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;1396/003;1-8;AN
