FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MISSION NUMBER OF DELAYED FLIGHT; ; ;1012/074;1-8;X
2 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;2024/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;C;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;D;2018/001;12;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;E;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;F;2086/001;13;AN
;ICAO LOCATION IDENTIFIER; ;G;1125/001;4;AN
;LOCATION OR POSITION NAME;N;H;1022/006;1-15;X
3 M;NEW ETA DAY-TIME AND MONTH AT DOWNLINE STATION; ;A;2030/028;10;AN
;TIME QUALIFIER TO BE DETERMINED; ;B;1220/010;3;A
4 C;EXPLANATION; ; ;1357/003;1-67;X
