FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;INTERCEPT SERIAL NUMBER;SERNO;A;1012/025;3;N
;EXERCISE INTERCEPT SERIAL NUMBER;XSERNO;B;1012/026;4;AN
;MESSAGE SERIAL NUMBER;MSGSNO;C;1012/007;1-7;N
2 M;LOCATION OF INTERCEPT PLATFORM, LAT/LONG, MINUTES; ; ;2023/033;11;AN
3 M;DAY-TIME OF INTERCEPT; ; ;2000/016;7;AN
4 M;BEARING (001-360) IN DEGREES, TRUE;TRUE;A;1791/006;3;N
;BEARING OF SIGNAL FROM INTERCEPTING PLATFORM, DEGREES TRUE;BNG;B;2253/004;4;AN
5 M;EMITTER EVALUATION; ; ;1121/002;1-15;X
6 M;CRYSTAL FREQUENCY IN KILOHERTZ;KHZ;A;1066/002;1-8;NS
;RADIO FREQUENCY;FREQ;B;2064/001;3-14;ANS
;FREQUENCY BAND AND CHANNEL;BAND;C;2136/001;2-4;AN
7 M;EW CONFIDENCE LEVEL;CONF;A;1123/002;1;N
;EW CREDIBILITY;CRED;B;1123/004;3-4;A
8 M;EXERCISE NATO DESIGNATOR;XDESIG;A;2173/001;4-5;AN
;EXERCISE PLATFORM EMITTING SIGNAL SERIAL NUMBER;XPLAT;B;1012/028;4;AN
;PLATFORM EMITTING SIGNAL SERIAL NUMBER;PLAT;C;1012/027;3;N
;DESIGNATOR;DESIG;D;1103/002;3-4;AN
