FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;AIRCRAFT CALL SIGN; ; ;1129/009;1-38;X
2 M;ICAO DEPARTURE LOCATION;ICAO;A;1125/004;4;AN
;DEPARTURE PLACE NAME;NAME;B;1022/042;1-38;X
3 M;NUMBER OF AIRCRAFT ORDERED; ; ;1044/111;1-3;N
4 M;AIRCRAFT TYPE AND MODEL; ; ;1015/020;2-6;AN
5 M;DAY-TIME OF TAKEOFF; ; ;2000/075;7;AN
6 O;ICAO RECOVERY BASE;ICAO;A;1125/005;4;AN
;RECOVERY BASE POSITION, LAT/LONG, DEGREES;LAT;B;2022/017;7;AN
;RECOVERY BASE POSITION, LAT/LONG, MINUTES;LATM;C;2023/050;11;AN
;RECOVERY BASE POSITION, LAT/LONG, SECONDS;LATS;D;2024/031;15;AN
;RECOVERY BASE POSITION, UTM 1,000-METRE;UTMK;E;2088/030;9;AN
;RECOVERY BASE POSITION, UTM 100-METRE;UTMO;F;2087/043;11;AN
;RECOVERY BASE POSITION, UTM 10-METRE;UTMT;G;2086/043;13;AN
;RECOVERY BASE POSITION, UTM 1-METRE;UTM;H;2089/030;15;AN
;RECOVERY LOCATION NAME;NAME;I;1022/010;1-20;X
7 O;DAY-TIME OF LANDING; ; ;2000/076;7;AN
8 O;CONTROLLING AGENCY LOCATION CODE; ; ;1261/008;4;A
9 O;UNIT SUPPORTED; ; ;1028/017;1-20;X
* 10 O;NUMBER AND STATUS OF AIRCRAFT NOT LANDED AT BASE; ; ;2137/001;2-3;AN
